model_name,fpr,tpr
Logistic Regression,0.006576095088646836,0.011150914219552565
Logistic Regression,0.006593999664928644,0.011158684891482567
Logistic Regression,0.0065965574615403305,0.011189767579202573
Logistic Regression,0.006609346444598765,0.011205308923062577
Logistic Regression,0.006617019834433825,0.011213079594992579
Logistic Regression,0.006627251020880572,0.01122085026692258
Logistic Regression,0.006640040003939007,0.011236391610782584
Logistic Regression,0.006650271190385754,0.011267474298502592
Logistic Regression,0.006659223478526658,0.011283015642362596
Logistic Regression,0.006664339071750031,0.011314098330082602
Logistic Regression,0.006672012461585092,0.011321869002012604
Logistic Regression,0.00668608034294937,0.011337410345872607
Logistic Regression,0.006700148224313647,0.011360722361662613
Logistic Regression,0.006709100512454551,0.011376263705522617
Logistic Regression,0.006721889495512986,0.011376263705522617
Logistic Regression,0.006735957376877263,0.011399575721312621
Logistic Regression,0.00674618856332401,0.011415117065172625
Logistic Regression,0.006750025258241541,0.01143842908096263
Logistic Regression,0.006767929834523348,0.011446199752892633
Logistic Regression,0.006779439919275939,0.011453970424822634
Logistic Regression,0.006788392207416843,0.011453970424822634
Logistic Regression,0.006796065597251903,0.011453970424822634
Logistic Regression,0.006806296783698651,0.01147728244061264
Logistic Regression,0.0068178068684512415,0.011485053112542642
Logistic Regression,0.006830595851509675,0.011516135800262648
Logistic Regression,0.006840827037956423,0.01152390647219265
Logistic Regression,0.0068548949193207006,0.01152390647219265
Logistic Regression,0.006865126105767448,0.011539447816052654
Logistic Regression,0.006875357292214195,0.011547218487982656
Logistic Regression,0.0068868673769667856,0.01156275983184266
Logistic Regression,0.006894540766801846,0.01156275983184266
Logistic Regression,0.006902214156636907,0.011578301175702663
Logistic Regression,0.006908608648166124,0.011586071847632665
Logistic Regression,0.006925234326142088,0.01160161319149267
Logistic Regression,0.006940581105812209,0.01160938386342267
Logistic Regression,0.006949533393953113,0.011632695879212675
Logistic Regression,0.006957206783788174,0.011648237223072679
Logistic Regression,0.006962322377011547,0.011663778566932683
Logistic Regression,0.006975111360069982,0.011687090582722688
Logistic Regression,0.0069840636482108856,0.01169486125465269
Logistic Regression,0.006996852631269319,0.01169486125465269
Logistic Regression,0.007007083817716067,0.011702631926582692
Logistic Regression,0.007013478309245284,0.011710402598512694
Logistic Regression,0.007028825088915404,0.011710402598512694
Logistic Regression,0.007037777377056308,0.011710402598512694
Logistic Regression,0.0070480085635030556,0.011718173270442694
Logistic Regression,0.0070569608516439595,0.011733714614302698
Logistic Regression,0.007067192038090707,0.011749255958162702
Logistic Regression,0.007076144326231611,0.011764797302022706
Logistic Regression,0.007082538817760828,0.011764797302022706
Logistic Regression,0.007087654410984202,0.01178033864588271
Logistic Regression,0.0071030011906543225,0.01178033864588271
Logistic Regression,0.007110674580489383,0.011819192005532718
Logistic Regression,0.0071170690720186005,0.01182696267746272
Logistic Regression,0.0071452048347471556,0.011858045365182727
Logistic Regression,0.007156714919499746,0.011873586709042731
Logistic Regression,0.00716950390255818,0.011881357380972733
Logistic Regression,0.0071771772923932406,0.011896898724832737
Logistic Regression,0.007181013987310771,0.01191244006869274
Logistic Regression,0.007192524072063362,0.011920210740622742
Logistic Regression,0.007201476360204266,0.011927981412552743
Logistic Regression,0.007209149750039326,0.011943522756412746
Logistic Regression,0.007215544241568543,0.011951293428342748
Logistic Regression,0.0072232176314036035,0.011966834772202752
Logistic Regression,0.007233448817850351,0.011982376116062756
Logistic Regression,0.007242401105991255,0.011990146787992758
Logistic Regression,0.007250074495826315,0.01199791745992276
Logistic Regression,0.007260305682273063,0.01199791745992276
Logistic Regression,0.007267979072108123,0.012005688131852762
Logistic Regression,0.007276931360249027,0.012021229475712766
Logistic Regression,0.007284604750084088,0.012021229475712766
Logistic Regression,0.0072922781399191484,0.012029000147642766
Logistic Regression,0.007302509326365896,0.012036770819572768
Logistic Regression,0.007308903817895112,0.01204454149150277
Logistic Regression,0.0073114616145068,0.012060082835362773
Logistic Regression,0.007317856106036016,0.012075624179222777
Logistic Regression,0.007325529495871077,0.01208339485115278
Logistic Regression,0.007339597377235355,0.012091165523082781
Logistic Regression,0.007345991868764571,0.012098936195012783
Logistic Regression,0.007354944156905475,0.012106706866942785
Logistic Regression,0.007360059750128849,0.012114477538872787
Logistic Regression,0.007365175343352222,0.012153330898522795
Logistic Regression,0.007369012038269753,0.012184413586242802
Logistic Regression,0.0073792432247165,0.012192184258172804
Logistic Regression,0.0073984266993041515,0.012192184258172804
