_id,ADDRESS_POINT_ID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS,MUNICIPALITY_NAME,CENTRELINE_ID,OBJECTID,ID,STATION,YEAR_BUILD,WARD,WARD_NAME,TYPE_DESC,PUBLIC_ED_OFFICE,FIRE_PREV_OFFICE,FIRE_OTHER,geometry
66,6942838,308,Prince Edward Dr S,308 Prince Edward Dr S,Etobicoke,6942837,4681481,,431,1958,3,Etobicoke-Lakeshore,Fire Station, , , ,"{""coordinates"": [[-79.50484704382086, 43.6464360660255]], ""type"": ""MultiPoint""}"
67,11533910,7,Lapsley Rd,7 Lapsley Rd,Scarborough,11533909,4683861,81,213,1974,23,Scarborough North,Fire Station, , , ,"{""coordinates"": [[-79.22596190861587, 43.795406608873364]], ""type"": ""MultiPoint""}"
68,7583839,358,Keele St,358 Keele St,former Toronto,14014794,4817127,29,423,1954,4,Parkdale-High Park,Fire Station, ,Fire Prevention Office (W), ,"{""coordinates"": [[-79.46475396081073, 43.66474178259143]], ""type"": ""MultiPoint""}"
69,10411391,1285,Dufferin St,1285 Dufferin St,former Toronto,30146985,4875124,11,345,1963,9,Davenport,Fire Station, , , ,"{""coordinates"": [[-79.43812588534881, 43.66732775258845]], ""type"": ""MultiPoint""}"
70,764237,106,Ascot Ave,106 Ascot Ave,former Toronto,1140634,4895522,30,342,1915,9,Davenport,Fire Station, , , ,"{""coordinates"": [[-79.44862626046506, 43.67936613193911]], ""type"": ""MultiPoint""}"
71,6522583,33,Claremont St,33 Claremont St,former Toronto,1146109,4899227,15,331,1968,10,Spadina-Fort York,Fire Station, , , ,"{""coordinates"": [[-79.40977375240172, 43.64733611937424]], ""type"": ""MultiPoint""}"
72,7974292,240,Howland Ave,240 Howland Ave,former Toronto,30017353,4922536,38,344,1910,11,University-Rosedale,Fire Station, ,Fire Prevention Office (S), ,"{""coordinates"": [[-79.41182414029672, 43.67296222716639]], ""type"": ""MultiPoint""}"
73,8677247,34,Yorkville Ave,34 Yorkville Ave,former Toronto,14014191,4926995,37,312,1876,11,University-Rosedale,Fire Station, , , ,"{""coordinates"": [[-79.38892037955517, 43.67187486127358]], ""type"": ""MultiPoint""}"
74,2374883,755,Warden Ave,755 Warden Ave,Scarborough,8741020,4928967,5,222,1960,20,Scarborough Southwest,Fire Station, , , ,"{""coordinates"": [[-79.2840906320077, 43.72039942742826]], ""type"": ""MultiPoint""}"
75,819425,65,Hendrick Ave,65 Hendrick Ave,former Toronto,1140587,4938516,10,343,1962,12,Toronto-St. Paul's,Fire Station, , , ,"{""coordinates"": [[-79.43075215729337, 43.6801051517752]], ""type"": ""MultiPoint""}"
76,12763904,260,Adelaide St W,260 Adelaide St W,former Toronto,12763900,4947516,14,332,1971,10,Spadina-Fort York,Fire Station, ,Fire Prevention Office (S),Division Commander / Platoon Chiefs,"{""coordinates"": [[-79.38956419026319, 43.648306533953104]], ""type"": ""MultiPoint""}"
77,6661414,207,Front St E,207 Front St E,former Toronto,1145261,4986910,4,333,1970,13,Toronto Centre,Fire Station, ,Fire Prevention Office,FP Special Event Plans and Projects,"{""coordinates"": [[-79.36615396903518, 43.65052080797543]], ""type"": ""MultiPoint""}"
78,808592,840,Gerrard St E,840 Gerrard St E,former Toronto,14024937,5011312,21,324,1931,14,Toronto-Danforth,Fire Station, , , ,"{""coordinates"": [[-79.34351818587716, 43.667766681619774]], ""type"": ""MultiPoint""}"
79,770042,132,Bellevue Ave,132 Bellevue Ave,former Toronto,30017518,5040045,12,315,1878,11,University-Rosedale,Fire Station, , , ,"{""coordinates"": [[-79.40478172527834, 43.6568245964379]], ""type"": ""MultiPoint""}"
80,6168242,475,Dundas St E,475 Dundas St E,former Toronto,6168241,5040857,22,325,1954,13,Toronto Centre,Fire Station, , , ,"{""coordinates"": [[-79.36485420222256, 43.65937053407145]], ""type"": ""MultiPoint""}"
81,843876,16,Montgomery Ave,16 Montgomery Ave,former Toronto,1138230,5046151,35,134,1932,8,Eglinton-Lawrence,Fire Station, , , ,"{""coordinates"": [[-79.39976830187865, 43.70965675951017]], ""type"": ""MultiPoint""}"
82,982440,1549,Albion Rd,1549 Albion Rd,Etobicoke,906946,5082168,65,413,1972,1,Etobicoke North,Fire Station, , , ,"{""coordinates"": [[-79.58690585228841, 43.74021870557029]], ""type"": ""MultiPoint""}"
83,2820826,1550,Midland Ave,1550 Midland Ave,Scarborough,30122712,5127178,74,232,1963,21,Scarborough Centre,Fire Station, , , ,"{""coordinates"": [[-79.26685107132796, 43.75496694557759]], ""type"": ""MultiPoint""}"
84,6620011,1313,Woodbine Ave,1313 Woodbine Ave,East York,6620012,5134834,57,224,1950,19,Beaches-East York,Fire Station, , , ,"{""coordinates"": [[-79.31659701016208, 43.695187459613955]], ""type"": ""MultiPoint""}"
85,20110476,8500,Sheppard Ave E,8500 Sheppard Ave E,Scarborough,104501,5138239,18,212,2003,25,Scarborough-Rouge Park,Fire Station, ,Fire Prevention Office (E), ,"{""coordinates"": [[-79.18874082377098, 43.80490579237686]], ""type"": ""MultiPoint""}"
