city,feature,feature_value,shap_value
Toronto,hour,8.0,-0.12066104030341686
Toronto,hour,11.0,0.07101278634018432
Toronto,hour,17.0,0.014762229895126698
Toronto,hour,17.0,0.061326130920685645
Toronto,hour,21.0,-0.319324031390941
Toronto,hour,9.0,0.008734946899438871
Toronto,hour,21.0,-0.34743887773664317
Toronto,hour,2.0,0.6267234310609819
Toronto,hour,3.0,0.5211318303624791
Toronto,hour,10.0,-0.03163894708043878
Toronto,hour,14.0,0.03933861773259906
Toronto,hour,16.0,0.04728566131555987
Toronto,hour,18.0,-0.15889342389145988
Toronto,hour,18.0,-0.09949017990654795
Toronto,hour,21.0,-0.3461261283762298
Toronto,hour,8.0,-0.10568420951657685
Toronto,hour,8.0,-0.13001844827550135
Toronto,hour,9.0,0.04224712568739281
Toronto,hour,10.0,0.07280558252441423
Toronto,hour,15.0,0.08302864387542278
Toronto,hour,22.0,-0.3386779525928545
Toronto,hour,0.0,0.4302646365420999
Toronto,hour,13.0,0.03976528794966633
Toronto,hour,15.0,0.08724072915963932
Toronto,hour,17.0,0.01925679795062664
Toronto,hour,21.0,-0.2885750960358558
Toronto,hour,1.0,0.471649110252157
Toronto,hour,12.0,0.0380556608892238
Toronto,hour,2.0,0.4493513267030083
Toronto,hour,13.0,0.0431925950485722
Toronto,hour,16.0,0.0364511040641837
Toronto,hour,8.0,-0.2511250601934249
Toronto,hour,22.0,-0.21574264242506805
Toronto,hour,0.0,0.4092644415049631
Toronto,hour,2.0,0.4980714469846087
Toronto,hour,12.0,0.026614335187034908
Toronto,hour,13.0,0.0200178546465225
Toronto,hour,19.0,-0.25015675890771044
Toronto,hour,23.0,-0.2004744097812072
Toronto,hour,5.0,0.32640490363392016
Toronto,hour,10.0,0.058590654646368145
Toronto,hour,13.0,0.06439413774549753
Toronto,hour,20.0,-0.2735104965476205
Toronto,hour,21.0,-0.1951981176485811
Toronto,hour,9.0,0.04417059229571714
Toronto,hour,9.0,0.051569472721865864
Toronto,hour,12.0,0.05119826122309975
Toronto,hour,17.0,0.028044594414081893
Toronto,hour,18.0,-0.11475333391082256
Toronto,hour,19.0,-0.28110811751166265
Toronto,hour,19.0,-0.23403523725240427
Toronto,hour,21.0,-0.2927597525283844
Toronto,hour,21.0,-0.2613821661282694
Toronto,hour,13.0,0.09047817650833227
Toronto,hour,16.0,0.08512075064683373
Toronto,hour,17.0,0.0890235061900625
Toronto,hour,19.0,-0.23463943484075359
Toronto,hour,9.0,0.012493115741340117
Toronto,hour,19.0,-0.24109985064208822
Toronto,hour,23.0,-0.22632252174021486
Toronto,hour,10.0,0.01747294303138795
Toronto,hour,16.0,0.07156715010231096
Toronto,hour,22.0,-0.2642639869693198
Toronto,hour,23.0,-0.23228114858221285
Toronto,hour,2.0,0.547613176074595
Toronto,hour,10.0,-0.05158823036302657
Toronto,hour,19.0,-0.20368601462201316
Toronto,hour,23.0,-0.09059085005598154
Toronto,hour,8.0,-0.1677022516450769
Toronto,hour,22.0,-0.26701788402543136
Toronto,hour,0.0,0.398877675305735
Toronto,hour,4.0,0.40296613570781503
Toronto,hour,12.0,0.034619866792843
Toronto,hour,16.0,0.0657284293023147
Toronto,hour,10.0,0.056454630887829226
Toronto,hour,14.0,0.07913590898662634
Toronto,hour,14.0,0.09293627403339821
Toronto,hour,16.0,0.08944245533516205
Toronto,hour,17.0,0.036569936930175684
Toronto,hour,1.0,0.47151482209510104
Toronto,hour,10.0,0.022790533932031898
Toronto,hour,10.0,0.062244892587561156
Toronto,hour,17.0,0.04002682141962231
Toronto,hour,1.0,0.471649110252157
Toronto,hour,11.0,0.04695967003237166
Toronto,hour,13.0,0.047894795507301795
Toronto,hour,3.0,0.5069855953054513
Toronto,hour,20.0,-0.2732596039236227
Toronto,hour,2.0,0.5267081199957198
Toronto,hour,5.0,0.21437932392692535
Toronto,hour,12.0,0.0034561856395256894
Toronto,hour,12.0,0.019862192901119374
Toronto,hour,7.0,-0.37918963273967893
Toronto,hour,8.0,-0.1812487472905739
Toronto,hour,12.0,0.02243674476702805
Toronto,hour,15.0,0.11406694381081228
Toronto,hour,17.0,0.078038716283448
Toronto,hour,17.0,0.09026471884427847
Toronto,hour,20.0,-0.25868334804389265
Toronto,hour,21.0,-0.2302905543288915
Toronto,hour,0.0,0.38686382057241864
